"name","n"
"Sir Charles Dilke, 2nd Baronet",1
"Sir John Sinclair, 1st Baronet",1
"Sir Richard Martin, 1st Baronet, of Overbury Court",1
"Solomon Kullback",1
"Stanislaus S. Uyanto",1
"Stanisław Trybuła",1
"Stefan Ralescu",1
"Stefano Franscini",1
"Stella Cunliffe",1
"Stephen Fienberg",1
"Steve Brooks",1
"Steve Kuzmicich",1
"Steven Haberman",1
"Steven Ruggles",1
"Stuart A. Robertson",1
"Stuart Pocock",1
"Susan Murphy",1
"Sylvia Richardson",1
"T. Tony Cai",1
"Takeshi Amemiya",1
"Ted Harris",1
"Terry Speed",1
"Theodore Wilbur Anderson",1
"Thomas A. Welton",1
"Thomas Brassey, 1st Earl Brassey",1
"Thomas Farrer, 1st Baron Farrer",1
"Thomas Jaffrey",1
"Thomas John Bisika",1
"Thomas M. Cover",1
"Thomas Robert Malthus",1
"Thorvald N. Thiele",1
"Tim Holt",1
"Timothy Augustine Coghlan",1
"Tony Lewis",1
"Tore Schweder",1
"Trevor Hastie",1
"U. Narayan Bhat",1
"V. S. Huzurbazar",1
"Victor Zarnowitz",1
"Vijayan K Pillai",1
"Vijayan Nair",1
"Waloddi Weibull",1
"Walter Francis Willcox",1
"Warren Mitofsky",1
"Warren Randolph Burgess",1
"Wassily Hoeffding",1
"Wendell Milliman",1
"Wesley S. B. Woolhouse",1
"Willard Thorp",1
"Willford I. King",1
"William A. Barnett",1
"William C. Krumbein",1
"William Fielding Ogburn",1
"William Fleetwood",1
"William Guy",1
"William H. Jefferys",1
"William Henry Sykes",1
"William Morgan",1
"William Onslow, 4th Earl of Onslow",1
"William Sanders",1
"William Wilson Hunter",1
"Winifred J. Morrison",1
"Xavier Fernique",1
"Xiao-Li Meng",1
"Yuan-Shih Chow",1
"Yuri Linnik",1
"Zhang Zhaohuan",1
"Zvi Griliches",1
